code;name;fkko_code;hazard_class;description
FKKO-31232522614;Ткань фильтровальная из полиэфирного волокна, загрязненная пылью гидроксида магния при производстве гидроксида магния;3 12 325 22 61 4;4;
FKKO-31232523614;Ткань фильтровальная из полиэфирного волокна, загрязненная раствором хлористого магния при его фильтрации в производстве гидроксида магния;3 12 325 23 61 4;4;
FKKO-31232571404;Отходы зачистки оборудования и просыпи в смеси при производстве гидроксида магния;3 12 325 71 40 4;4;
FKKO-31233000000;Отходы производства пероксидов;3 12 330 00 00 0;0;
FKKO-31234000000;Отходы производства гидразина, гидроксиламина и их неорганических солей;3 12 340 00 00 0;0;
FKKO-31240000000;"Отходы производства галогенидов металлов; гипохлоритов, хлоратов и перхлоратов";3 12 400 00 00 0;0;
FKKO-31241000000;Отходы производства хлоридов металлов;3 12 410 00 00 0;0;
FKKO-31241100000;Отходы производства хлорида магния;3 12 411 00 00 0;0;
FKKO-31241171204;Отходы зачистки оборудования упарки раствора магния хлористого в производстве магния хлористого;3 12 411 71 20 4;4;
FKKO-31241175404;Сметки хлористого магния в его производстве;3 12 411 75 40 4;4;
FKKO-31241178104;Солевой раствор при промывке оборудования производства хлорида магния;3 12 411 78 10 4;4;
FKKO-31241300000;Отходы производства хлоридов алюминия;3 12 413 00 00 0;0;
FKKO-31241331613;Ткань фильтровальная из натуральных волокон, отработанная при фильтрации оксихлорида алюминия в его производстве;3 12 413 31 61 3;3;
FKKO-31241400000;Отходы производства хлоридов железа;3 12 414 00 00 0;0;
FKKO-31241431393;Отходы восстановления раствора хлорида железа (iii) в производстве хлорида железа (ii);3 12 414 31 39 3;3;
FKKO-31241432333;Осадок при отстаивании раствора хлорида железа (ii) в производстве хлорида железа (ii);3 12 414 32 33 3;3;
FKKO-31241435613;Ткань фильтровальная из полиамидных волокон, отработанная при фильтрации хлорида железа (ii) в его производстве;3 12 414 35 61 3;3;
FKKO-31241436623;Картридж полиэфирный, отработанный при очистке водного раствора хлорного железа в производстве хлорида железа (iii);3 12 414 36 62 3;3;
FKKO-31241500000;Отходы производства хлористого кальция и продукции на его основе;3 12 415 00 00 0;0;
FKKO-31241513394;Осадок обработки известняка соляной кислотой при производстве хлористого кальция;3 12 415 13 39 4;4;
FKKO-31241521395;Отходы фильтрации при очистке раствора хлористого кальция от механических примесей при производстве хлористого кальция;3 12 415 21 39 5;5;
FKKO-31241535205;Отходы чистки оборудования обработки известкового камня соляной кислотой в производстве хлористого кальция;3 12 415 35 20 5;5;
FKKO-31241551614;Ткань фильтровальная из полиамидного волокна, отработанная при фильтрации шлама производства жидкого хлористого кальция;3 12 415 51 61 4;4;
FKKO-31241571393;Отходы чистки емкостей хранения хлористого кальция при производстве жидкого хлористого кальция;3 12 415 71 39 3;3;
FKKO-31241572204;Отходы чистки технологического оборудования производства хлористого кальция натрия модифицированного;3 12 415 72 20 4;4;
FKKO-31241591403;Просыпи хлористого кальция при производстве хлористого кальция и хлористого кальция натрия модифицированного;3 12 415 91 40 3;3;
FKKO-31241592403;Просыпи хлористого натрия при производстве хлористого кальция натрия модифицированного;3 12 415 92 40 3;3;
FKKO-31242000000;Отходы производства фторидов металлов;3 12 420 00 00 0;0;
FKKO-31242111404;Отходы кремнегеля при производстве фторида алюминия;3 12 421 11 40 4;4;
FKKO-31242511614;Ткань фильтровальная полипропиленовая, отработанная при производстве фтористого алюминия;3 12 425 11 61 4;4;
FKKO-31242711334;Осадок нейтрализации кислых сточных вод производства фторидов металлов;3 12 427 11 33 4;4;
FKKO-31242821203;Отходы очистки технологического оборудования производства фтористого алюминия;3 12 428 21 20 3;3;
FKKO-31243000000;Отходы производства бромидов металлов;3 12 430 00 00 0;0;
FKKO-31243100000;Отходы производства бромидов щелочных и щелочноземельных металлов;3 12 431 00 00 0;0;
FKKO-31243111205;Отходы производства бромида железа из железной стружки, содержащие преимущественно диоксид кремния;3 12 431 11 20 5;5;
FKKO-31243121205;Отходы фильтрации раствора натрия бромида в его производстве;3 12 431 21 20 5;5;
FKKO-31243131205;Отходы фильтрации раствора кальция бромида в его производстве;3 12 431 31 20 5;5;
FKKO-31243181325;Воды от промывки оборудования и смывы с полов в производстве натрия бромида;3 12 431 81 32 5;5;
FKKO-31245000000;Отходы производства гипохлоритов, хлоратов и перхлоратов;3 12 450 00 00 0;0;
FKKO-31245310000;Отходы производства перхлората аммония;3 12 453 10 00 0;0;
FKKO-31245311333;Отходы (осадок) фильтрации при очистке перхлората аммония в его производстве;3 12 453 11 33 3;3;
FKKO-31245312493;Отходы (осадок) хлорида натрия при выпарке маточного раствора в производстве перхлората аммония из перхлората натрия, аммиака и соляной кислоты;3 12 453 12 49 3;3;
FKKO-31245330000;Отходы производства перхлората калия;3 12 453 30 00 0;0;
FKKO-31245333203;Отходы фильтрации раствора перхлората калия в его производстве, содержащие соли бария и калия;3 12 453 33 20 3;3;
FKKO-31250000000;"Отходы производства сульфидов, сульфатов; нитратов, фосфатов и карбонатов";3 12 500 00 00 0;0;
FKKO-31251000000;Отходы производства сульфидов, сульфитов и сульфатов;3 12 510 00 00 0;0;
FKKO-31251100000;Отходы производства сульфидов;3 12 511 00 00 0;0;
FKKO-31251110000;Отходы производства сульфида натрия;3 12 511 10 00 0;0;
FKKO-31251111393;Шлам при выщелачивании плава сульфида натрия в его производстве обезвоженный;3 12 511 11 39 3;3;
FKKO-31251551203;Осадок никельсодержащий обезвоженный при очистке раствора никелевого купороса мелом в производстве никелевого купороса;3 12 515 51 20 3;3;
FKKO-31251580000;Отходы производства сульфата натрия;3 12 515 80 00 0;0;
FKKO-31251581294;Отходы зачистки оборудования производства сульфата натрия;3 12 515 81 29 4;4;
FKKO-31251582403;Просыпи сульфата натрия при его транспортировании и фасовке;3 12 515 82 40 3;3;
FKKO-31251585393;Отходы фильтрации раствора сульфата натрия при его реагентной очистке от соединений хрома (vi) в производстве сульфата натрия;3 12 515 85 39 3;3;
FKKO-31252000000;Отходы производства фосфинатов (гипофосфатов), фосфонатов (фосфитов), фосфатов, полифосфатов и нитратов (кроме калия);3 12 520 00 00 0;0;
FKKO-31253000000;Отходы производства карбонатов;3 12 530 00 00 0;0;
FKKO-31253100000;Отходы производства карбоната натрия (соды кальцинированной);3 12 531 00 00 0;0;
FKKO-31253161614;Фильтры рукавные, отработанные при газоочистке в производстве кальцинированной соды;3 12 531 61 61 4;4;
FKKO-31253171394;Отходы зачистки оборудования производства кальцинированной соды;3 12 531 71 39 4;4;
FKKO-31253181205;Осадок при отстаивании сточных вод производства кальцинированной соды аммиачным способом обезвоженный;3 12 531 81 20 5;5;
FKKO-31253182394;Осадок при отстаивании сточных вод производства кальцинированной соды из природных рассолов аммиачным способом;3 12 531 82 39 4;4;
FKKO-31260000000;Отходы производства солей прочих металлов;3 12 600 00 00 0;0;
FKKO-31261000000;"Отходы производства солей оксометаллических и пероксометаллических кислот; драгоценных (благородных) металлов в коллоидном состоянии";3 12 610 00 00 0;0;
FKKO-31261200000;Отходы производства хроматов;3 12 612 00 00 0;0;
FKKO-31261221393;Отходы фильтрации раствора монохромата натрия в производстве монохромата натрия;3 12 612 21 39 3;3;
FKKO-31261222393;Отходы фильтрации раствора монохромата натрия в производстве монохромата натрия с применением доломита;3 12 612 22 39 3;3;
FKKO-31261223204;Отходы iii стадии фильтрации раствора монохромата натрия в его производстве обезвоженные, содержащие хром (vi) не более 4,5%;3 12 612 23 20 4;4;
FKKO-31261281393;Осадок механической очистки воды оборотного водоснабжения производства хромовых соединений;3 12 612 81 39 3;3;
FKKO-31261282394;Осадок реагентной очистки от соединений хрома (vi) смешанных сточных вод производств хромовых солей;3 12 612 82 39 4;4;
FKKO-31262000000;"Отходы производства соединений неорганических, не вошедшие в другие группы (включая дистиллированную воду); амальгамы, кроме амальгам драгоценных металлов";3 12 620 00 00 0;0;
FKKO-31262100000;Отходы производства соединений неорганических, не вошедшие в другие группы;3 12 621 00 00 0;0;
FKKO-31262200000;Отходы производства воды дистиллированной;3 12 622 00 00 0;0;
FKKO-31262300000;Отходы производства амальгам, кроме амальгам драгоценных металлов;3 12 623 00 00 0;0;
FKKO-31270000000;Отходы производства веществ химических неорганических основных прочих;3 12 700 00 00 0;0;
FKKO-31271910000;Отходы производства стабильных изотопов;3 12 719 10 00 0;0;
FKKO-31271913203;Отходы очистки и выпаривания растворов солей при производстве стабильных изотопов, содержащие преимущественно сульфат натрия;3 12 719 13 20 3;3;
FKKO-31271915393;Осадок механической очистки медьсодержащих технологических растворов с преимущественным содержанием меди в производстве стабильных изотопов;3 12 719 15 39 3;3;
FKKO-31272000000;"Отходы производства цианидов, цианидоксидов и комплексных цианидов; фульминатов, цианатов и тиоцианатов; силикатов; боратов; перборатов; прочих солей неорганических кислот или пероксикислот";3 12 720 00 00 0;0;
FKKO-31272100000;Отходы производства фульминатов, цианатов и тиоцианатов;3 12 721 00 00 0;0;
FKKO-31272101412;Пыль цианборгидрида натрия при производстве цианборгидрида натрия;3 12 721 01 41 2;2;
FKKO-31272131104;Отходы нейтрализации цианборсодержащих и циансодержащих соединений при производстве цианборгидрида натрия;3 12 721 31 10 4;4;
FKKO-31272200000;Отходы производства силикатов;3 12 722 00 00 0;0;
FKKO-31272215394;Отходы (осадок) отстаивания жидкого стекла в его производстве;3 12 722 15 39 4;4;
FKKO-31272300000;Отходы производства боратов;3 12 723 00 00 0;0;
FKKO-31272331603;Ткань фильтровальная из смешанных волокон, отработанная при фильтрации боратов в их производстве;3 12 723 31 60 3;3;
FKKO-31272400000;Отходы производства перборатов;3 12 724 00 00 0;0;
FKKO-31272500000;Отходы производства цианидов, цианидоксидов и комплексных цианидов;3 12 725 00 00 0;0;
FKKO-31272513393;Отходы зачистки оборудования для абсорбции цианида водорода едким натром при производстве цианида натрия, содержащие преимущественно карбонаты кальция и магния;3 12 725 13 39 3;3;
FKKO-31272600000;Отходы производства алюмосиликатов;3 12 726 00 00 0;0;
FKKO-31272621335;Осадок при промывке цеолитов в их производстве;3 12 726 21 33 5;5;
FKKO-31272651404;Просыпи и пыль силикагеля при производстве цеолита;3 12 726 51 40 4;4;
FKKO-31272900000;Отходы производства солей неорганических кислот или пероксикислот прочих;3 12 729 00 00 0;0;
FKKO-31272911494;Отходы фильтрации раствора, содержащего перренат аммония, в производстве перрената аммония, обезвоженные;3 12 729 11 49 4;4;
FKKO-31273000000;Отходы производства пероксида водорода (перекиси водорода);3 12 730 00 00 0;0;
FKKO-31273711614;Ткань фильтровальная хлопчатобумажная, отработанная при очистке раствора перекиси водорода от сульфата бария при производстве перекиси водорода;3 12 737 11 61 4;4;
FKKO-31273712604;Ткань фильтровальная из натуральных волокон, отработанная при очистке отработанных растворов и вод промывки оборудования производства перекиси водорода при его пассивации;3 12 737 12 60 4;4;
FKKO-31273811404;Осадок при очистке фильтрацией отработанных растворов и вод промывки оборудования производства перекиси водорода при его пассивации;3 12 738 11 40 4;4;
FKKO-31274000000;Отходы производства фосфидов, карбидов, гидридов, нитридов, азидов, силицидов и боридов;3 12 740 00 00 0;0;
FKKO-31274711313;Отходы регенерации диэтиланилина, содержащие хлорид натрия, при производстве диборана;3 12 747 11 31 3;3;
FKKO-31274712313;Отходы регенерации отработанного диэтиланилина, содержащие борнометиловый эфир, при производстве диборана;3 12 747 12 31 3;3;
FKKO-31274713102;Смесь триизопропилбората и изопропилового спирта при очистке отходящих газов производства толуольного раствора декаборана изопропиловым спиртом;3 12 747 13 10 2;2;
FKKO-31274717103;Жидкие отходы промывки изопропиловым спиртом оборудования производства толуольного раствора декаборана;3 12 747 17 10 3;3;
FKKO-31274718103;Жидкие отходы промывки изопропиловым спиртом фильтров очистки от твердых бороводородов толуольного раствора декаборана в его производстве;3 12 747 18 10 3;3;
FKKO-31274721313;Кубовый остаток производства боргидрида натрия;3 12 747 21 31 3;3;
FKKO-31275000000;Отходы производства соединений редкоземельных металлов, иттрия или скандия;3 12 750 00 00 0;0;
FKKO-31275121414;Отходы порошка титаната диспрозия в его производстве;3 12 751 21 41 4;4;
FKKO-31275511614;Войлок лавсановый отработанный при фильтрации растворов в производстве карбонатов редкоземельных элементов;3 12 755 11 61 4;4;
FKKO-31275611604;Ткань фильтровальная из натуральных волокон, отработанная при очистке воздуха в производстве редкоземельных металлов;3 12 756 11 60 4;4;
FKKO-31275711614;Ткань фильтровальная полипропиленовая, отработанная при очистке сточных вод производства карбонатов редкоземельных металлов;3 12 757 11 61 4;4;
FKKO-31275811395;Осадок очистки сточных вод производства карбонатов редкоземельных металлов кальцинированной содой;3 12 758 11 39 5;5;
FKKO-31276000000;Отходы производства серы, кроме сублимированной, осажденной и коллоидной;3 12 760 00 00 0;0;
FKKO-31277000000;Отходы производства пиритов обожженных (колчедана серного обожженного);3 12 770 00 00 0;0;
FKKO-31278000000;"Отходы производства кварца пьезоэлектрического; прочих камней синтетических или восстановленных драгоценных или полудрагоценных необработанных";3 12 780 00 00 0;0;
FKKO-31278100000;Отходы производства кварца пьезоэлектрического;3 12 781 00 00 0;0;
FKKO-31278110000;Отходы производства синтетических кристаллов кварца;3 12 781 10 00 0;0;
FKKO-31278111104;Раствор водно-содовый, отработанный при выращивании синтетических кристаллов кварца;3 12 781 11 10 4;4;
FKKO-31278118334;Осадок нейтрализации серной кислотой сточных вод производства синтетических кристаллов кварца обезвоженный;3 12 781 18 33 4;4;
FKKO-31280000000;Прочие отходы при производстве основных неорганических химических веществ;3 12 800 00 00 0;0;
FKKO-31280100000;Прочие отходы при производстве фосфорной кислоты и прочих фосфорсодержащих неорганических соединений;3 12 801 00 00 0;0;
FKKO-31280101394;Отходы зачистки оборудования при производстве фосфорной кислоты и прочих фосфорсодержащих неорганических соединений;3 12 801 01 39 4;4;
FKKO-31280200000;Прочие отходы при производстве фтористоводородной кислоты и прочих фторсодержащих неорганических соединений;3 12 802 00 00 0;0;
FKKO-31280211204;Отходы зачистки пылегазоочистного оборудования производства фтористоводородной кислоты и фторидов металлов, содержащие фториды металлов менее 3%;3 12 802 11 20 4;4;
FKKO-31280231714;Смет помещений производства фтористоводородной кислоты и фторидов металлов (содержание фторидов металлов менее 3%);3 12 802 31 71 4;4;
FKKO-31280241404;Отходы разложения плавикового шпата серной кислотой (фторгипс) нейтрализованные при производстве безводного фтористого водорода;3 12 802 41 40 4;4;
FKKO-31283200000;Прочие отходы при производстве хлора и каустика ртутным методом;3 12 832 00 00 0;0;
FKKO-31283211333;Осадок физико-химической очистки от ртути сточных вод производств хлора и каустика ртутным методом обезвоженный;3 12 832 11 33 3;3;
FKKO-31283251604;Ткань полиэфирная, отработанная при фильтрации осадка очистки сточных вод производств хлора и каустика ртутным методом;3 12 832 51 60 4;4;
FKKO-31283252514;Фильтр стекловолокнистый, отработанный при осушке хлора в производстве хлора методом ртутного электролиза;3 12 832 52 51 4;4;
FKKO-31283261334;Осадок отстаивания рассола, отработанного при регенерации фильтра очистки анолита в производстве хлора и каустика ртутным методом;3 12 832 61 33 4;4;
FKKO-31283271333;Отходы ртутьсодержащие при зачистке оборудования производства хлора и каустика ртутным методом;3 12 832 71 33 3;3;
FKKO-31283272331;Отходы зачистки электролизеров производства хлора и каустика ртутным методом, содержащие преимущественно графит и ртуть;3 12 832 72 33 1;1;
FKKO-31293211203;Неорганический остаток термической регенерации металлической ртути из ртутьсодержащих отходов производства хлора и каустика ртутным методом;3 12 932 11 20 3;3;
FKKO-31297171394;Отходы (осадки) механической очистки сточных вод производства технического силикагеля и сульфитных солей в смеси;3 12 971 71 39 4;4;
FKKO-31300000000;Отходы производства основных органических химических веществ прочих;3 13 000 00 00 0;0;
FKKO-31301000000;Отходы при получении промежуточных продуктов для производства основных органических химических веществ прочих;3 13 010 00 00 0;0;
FKKO-31301110000;Отходы получения бисамина;3 13 011 10 00 0;0;
FKKO-31301111102;Кубовый остаток ректификации бисамина;3 13 011 11 10 2;2;
FKKO-31301112103;Фузельная вода при получении бисамина;3 13 011 12 10 3;3;
FKKO-31301200000;Отходы получения сжатого осушенного углекислого газа;3 13 012 00 00 0;0;
FKKO-31301212293;Силикагель со следами моноэтаноламина, отработанный при осушке углекислого газа;3 13 012 12 29 3;3;
FKKO-31302000000;Отходы при подготовке сырья для производства основных органических химических веществ прочих;3 13 020 00 00 0;0;
FKKO-31302010000;Отходы при подготовке бутилен-изобутиленовой фракции;3 13 020 10 00 0;0;
FKKO-31302011104;Воды технологические от отмывки бутилен-изобутиленовой фракции от азотсодержащих соединений;3 13 020 11 10 4;4;
FKKO-31310000000;Отходы производства углеводородов и их производных;3 13 100 00 00 0;0;
FKKO-31311000000;Отходы производства углеводородов ациклических насыщенных;3 13 110 00 00 0;0;
FKKO-31312000000;Отходы производства углеводородов ациклических ненасыщенных;3 13 120 00 00 0;0;
FKKO-31312100000;Отходы производства ацетилена;3 13 121 00 00 0;0;
FKKO-31312101393;Отходы регенерации n-метилпирролидона в производстве ацетилена;3 13 121 01 39 3;3;
FKKO-31312102494;Отходы зачистки оборудования производства ацетилена;3 13 121 02 49 4;4;
FKKO-31312121494;Песок, загрязненный n-метилпирролидоном, отработанный при зачистке пластин теплообменников производства ацетилена;3 13 121 21 49 4;4;
FKKO-31312200000;Отходы производства пиперилена;3 13 122 00 00 0;0;
FKKO-31312201102;Кубовый остаток ректификации пиперилена;3 13 122 01 10 2;2;
FKKO-31312300000;Отходы производства этилена и пропилена;3 13 123 00 00 0;0;
FKKO-31312331103;Отходы щелочной очистки пирогаза от соединений серы и двуокиси углерода в производстве этилена и пропилена;3 13 123 31 10 3;3;
FKKO-31312332204;Кокс, отработанный при очистке газов пиролиза пропан-бутановой фракции в производстве этилена;3 13 123 32 20 4;4;
FKKO-31312333323;Жидкие углеводороды при экстрагировании и отстое отходов щелочной очистки пирогаза в производстве этилена и пропилена;3 13 123 33 32 3;3;
FKKO-31312341102;Отходы компримирования газов пиролиза, содержащие углеводороды c5 и более, при производстве этилена и пропилена из бензина;3 13 123 41 10 2;2;
FKKO-31312351313;Водная эмульсия отстоя тяжелой пиролизной смолы в производстве этилена и пропилена;3 13 123 51 31 3;3;
FKKO-31312381204;Продукты полимеризации кубового остатка ректификации этилена при пропарке и зачистке кипятильного оборудования;3 13 123 81 20 4;4;
FKKO-31312382204;Коксовые отложения при зачистке технологического оборудования производства этилена;3 13 123 82 20 4;4;
FKKO-31312383394;Отходы зачистки емкостей сбора сточных вод производства этилена обводненные (содержание углеводородов менее 15%);3 13 123 83 39 4;4;
FKKO-31312384313;Отходы зачистки оборудования для сбора жидких углеводородов при отстаивании сточных вод производства этилена;3 13 123 84 31 3;3;
FKKO-31312386204;Кокс при зачистке оборудования пиролиза и фракционирования пирогаза производства этилена и пропилена из бензина;3 13 123 86 20 4;4;
FKKO-31312389393;Смесь отходов очистки оборудования хранения сырья, очистки сточных вод, сжигания отходов в производстве этилена и пропилена;3 13 123 89 39 3;3;
FKKO-31312400000;Отходы производства бутилена;3 13 124 00 00 0;0;
FKKO-31312472394;Отходы мокрой очистки газов дегидрирования изобутана в производстве изобутилена, содержащие катализатор алюмохромовый;3 13 124 72 39 4;4;
FKKO-31312481204;Продукты полимеризации этилена при пропарке и зачистке оборудования процесса димеризации этилена в производстве альфа-бутилена;3 13 124 81 20 4;4;
FKKO-31312482102;Отходы зачистки оборудования в производстве альфа-бутилена;3 13 124 82 10 2;2;
FKKO-31312483102;Отходы промывки углеводородами и зачистки оборудования в производстве бутена-1;3 13 124 83 10 2;2;
FKKO-31312491204;Отходы сжигания продуктов полимеризации этилена при пропарке и зачистке оборудования процесса димеризации этилена в производстве альфа-бутилена;3 13 124 91 20 4;4;
FKKO-31312500000;Отходы производства альфа-олефинов;3 13 125 00 00 0;0;
FKKO-31312531312;Изомеры альфа-олефинов при рекуперации аминов в производстве линейных альфа-олефинов, загрязненные аминами;3 13 125 31 31 2;2;
FKKO-31312533103;Жидкость кубовая при выделении альфа-олефинов в их производстве;3 13 125 33 10 3;3;
FKKO-31312571313;Отходы углеводородов при очистке сточных вод производства альфа-олефинов нейтрализацией и отстаиванием;3 13 125 71 31 3;3;
FKKO-31313000000;Отходы производства углеводородов циклических;3 13 130 00 00 0;0;
FKKO-31313100000;Отходы производства углеводородов ароматических с одним бензольным кольцом;3 13 131 00 00 0;0;
FKKO-31313110000;Отходы производства бензола;3 13 131 10 00 0;0;
FKKO-31313113313;Кубовые остатки ректификации сырого бензола;3 13 131 13 31 3;3;
FKKO-31313115204;Глина отбеливающая, отработанная при очистке бензола от тиофена и непредельных соединений в его производстве;3 13 131 15 20 4;4;
FKKO-31313117203;Отходы зачистки оборудования ректификации бензола сырого каменноугольного;3 13 131 17 20 3;3;
FKKO-31313140000;Отходы производства ксилола;3 13 131 40 00 0;0;
FKKO-31313150000;Отходы производства стирола;3 13 131 50 00 0;0;
FKKO-31313151103;Бензальдегидная фракция ректификации легкой и тяжелой фракции эпоксидата в совместном производстве стирола и оксида пропилена;3 13 131 51 10 3;3;
FKKO-31313152103;Легкая фракция ректификации нейтрализованной и промытой тяжелой фракции эпоксидата в совместном производстве стирола и оксида пропилена;3 13 131 52 10 3;3;
FKKO-31313153102;Кубовый остаток при выделении оксида пропилена из легкой фракции эпоксидата ректификацией в совместном производстве стирола и оксида пропилена;3 13 131 53 10 2;2;
FKKO-31313154313;Остаток при выделении метилфенилкарбинола из тяжелой фракции эпоксидата в роторно-пленочном испарителе в совместном производстве стирола и оксида пропилена;3 13 131 54 31 3;3;
FKKO-31313155313;Отходы доочистки метилфенилкарбинола на роторно-пленочном испарителе в совместном производстве стирола и оксида пропилена;3 13 131 55 31 3;3;
FKKO-31313156313;Отходы доочистки ацетофенона на роторно-пленочном испарителе в совместном производстве стирола и оксида пропилена;3 13 131 56 31 3;3;
FKKO-31313157313;Смесь углеводородов при отстое загрязненных сточных вод совместного производства стирола и оксида пропилена;3 13 131 57 31 3;3;
FKKO-31313158393;Отходы зачистки оборудования для выделения азеотропа метилфенилкарбинола и ацетофенона в совместном производстве стирола и оксида пропилена;3 13 131 58 39 3;3;
FKKO-31313159333;Отходы зачистки оборудования для приготовления молибденсодержащего катализатора в совместном производстве стирола и оксида пропилена;3 13 131 59 33 3;3;
FKKO-31313160000;Отходы производства этилбензола;3 13 131 60 00 0;0;
FKKO-31313170000;Отходы производства кумола;3 13 131 70 00 0;0;
FKKO-31313177103;Жидкие отходы нейтрализации гидроксидом натрия кислых продуктов алкилирования при производстве изопропилбензола (кумола) с применением катализатора на основе хлористого алюминия;3 13 131 77 10 3;3;
FKKO-31313190000;Прочие отходы производства углеводородов ароматических с одним бензольным кольцом;3 13 131 90 00 0;0;
FKKO-31313191303;Смесь отходов зачистки оборудования производства стирола и совместного производства стирола и оксида пропилена;3 13 131 91 30 3;3;
FKKO-31313200000;Отходы производства углеводородов ароматических с двумя или более несконденсированными бензольными кольцами;3 13 132 00 00 0;0;
FKKO-31313300000;Отходы производства углеводородов ароматических с двумя или более сконденсированными бензольными кольцами;3 13 133 00 00 0;0;
FKKO-31313310000;Отходы производства нафталина;3 13 133 10 00 0;0;
FKKO-31313311313;Водный конденсат, содержащий углеводороды, при очистке выбросов от ректификации нафталина в его производстве;3 13 133 11 31 3;3;
FKKO-31313312313;Сепарационная вода ректификации нафталина в его производстве;3 13 133 12 31 3;3;
FKKO-31313360000;Отходы производства флюорена и его производных;3 13 133 60 00 0;0;
FKKO-31313363392;Смоляной слой при выделении 2,7-бис[2-(диэтиламино)этокси]флуорен-9-она из реакционной массы в его производстве;3 13 133 63 39 2;2;
FKKO-31314000000;Отходы производства производных ациклических углеводородов хлорированных;3 13 140 00 00 0;0;
FKKO-31314010000;Отходы производства хлорметанов;3 13 140 10 00 0;0;
FKKO-31314011102;Кислота серная, отработанная при осушке хлороформа-сырца олеумом в производстве хлорметанов;3 13 140 11 10 2;2;
FKKO-31314012404;Уголь активированный, отработанный при очистке метиленхлорида и хлороформа в производстве хлорметанов;3 13 140 12 40 4;4;
FKKO-31314014604;Ткань фильтровальная из натуральных волокон, загрязненная при очистке хлорметанов в их производстве;3 13 140 14 60 4;4;
FKKO-31314018203;Сажа при зачистке технологического оборудования производства хлорметанов;3 13 140 18 20 3;3;
FKKO-31314100000;Отходы производства винилхлорид мономера;3 13 141 00 00 0;0;
FKKO-31314110000;Отходы подготовки реагентов при производстве винилхлорид мономера;3 13 141 10 00 0;0;
FKKO-31314111523;Картриджи фильтров системы дозирования реагентов, отработанные при подготовке реагентов синтеза винилхлорид мономера;3 13 141 11 52 3;3;
FKKO-31314120000;Отходы оксихлорирования в производстве винилхлорид мономера;3 13 141 20 00 0;0;
FKKO-31314121524;Картридж воздушного фильтра емкости хранения катализатора, отработанный в процессе оксихлорирования при производстве винилхлорид мономера;3 13 141 21 52 4;4;
FKKO-31314122204;Насадка скруббера нейтрализации некондиционного дихлорэтана, отработанная при производстве винилхлорид мономера;3 13 141 22 20 4;4;
FKKO-31314123293;Кокс, уловленный при фильтрации тяжелых фракций дихлорэтана, в производстве винилхлорид мономера;3 13 141 23 29 3;3;
FKKO-31314130000;Отходы очистки винилхлорид мономера и других продуктов пиролиза дихлорэтана при производстве винилхлорид мономера;3 13 141 30 00 0;0;
FKKO-31314131293;Твердые отходы фильтрации жидких продуктов закалки газов пиролиза дихлорэтана при производстве винилхлорид мономера;3 13 141 31 29 3;3;
FKKO-31314132493;Насадка скруббера нейтрализации соляной кислоты, отработанная при очистке винилхлорид мономера в его производстве;3 13 141 32 49 3;3;
FKKO-31314133524;Картридж целлюлозный фильтра очистки винилхлорид мономера в его производстве;3 13 141 33 52 4;4;
FKKO-31314134293;Кокс, уловленный при фильтрации промывочного дихлорэтана в производстве винилхлорид мономера;3 13 141 34 29 3;3;
FKKO-31314135514;Картридж целлюлозный, отработанный при очистке промывочного дихлорэтана в производстве винилхлорид мономера;3 13 141 35 51 4;4;
FKKO-31314136514;Картридж целлюлозный фильтра очистки винилхлорид мономера при его перекачке в производство поливинилхлорида;3 13 141 36 51 4;4;
FKKO-31314137302;Отходы зачистки оборудования стадии очистки дихлорэтана в производстве винилхлорид мономера;3 13 141 37 30 2;2;
FKKO-31314140000;Отходы получения соляной кислоты при сжигании газообразных и жидких хлорорганических соединений при производстве винилхлорид мономера;3 13 141 40 00 0;0;
FKKO-31314141403;Отходы щелочной очистки отходящих кислых газов сжигания газообразных и жидких хлорорганических соединений при получении соляной кислоты в производстве винилхлорид мономера;3 13 141 41 40 3;3;
