code;name;fkko_code;hazard_class;description
FKKO-11215111324;Стоки навозные от содержания крупного рогатого скота обеззараженные, пригодные к использованию для улучшения качества почв;1 12 151 11 32 4;4;
FKKO-11220000000;Отходы разведения и содержания лошадей и прочих животных семейства лошадиных отряда непарнокопытных;1 12 200 00 00 0;0;
FKKO-11221000000;Навоз конский;1 12 210 00 00 0;0;
FKKO-11221001334;Навоз конский свежий;1 12 210 01 33 4;4;
FKKO-11221002295;Навоз конский перепревший;1 12 210 02 29 5;5;
FKKO-11222111405;Отходы подстилки из древесных опилок и стружки при содержании лошадей практически неопасные;1 12 221 11 40 5;5;
FKKO-11230000000;Отходы разведения верблюдов и прочих животных семейства верблюжьих;1 12 300 00 00 0;0;
FKKO-11231000000;Навоз верблюжий;1 12 310 00 00 0;0;
FKKO-11231001334;Навоз верблюжий свежий;1 12 310 01 33 4;4;
FKKO-11231002295;Навоз верблюжий перепревший;1 12 310 02 29 5;5;
FKKO-11240000000;Отходы разведения овец и коз;1 12 400 00 00 0;0;
FKKO-11241000000;Навоз мелкого рогатого скота;1 12 410 00 00 0;0;
FKKO-11241001294;Навоз мелкого рогатого скота свежий;1 12 410 01 29 4;4;
FKKO-11241002295;Навоз мелкого рогатого скота перепревший;1 12 410 02 29 5;5;
FKKO-11250000000;Отходы разведения свиней;1 12 500 00 00 0;0;
FKKO-11251000000;Навоз свиней;1 12 510 00 00 0;0;
FKKO-11251001333;Навоз свиней свежий;1 12 510 01 33 3;3;
FKKO-11251002294;Навоз свиней перепревший;1 12 510 02 29 4;4;
FKKO-11252001394;Отходы подстилки из древесных опилок при содержании свиней;1 12 520 01 39 4;4;
FKKO-11255111324;Жидкая фракция сепарации свиного навоза при самосплавной системе навозоудаления;1 12 551 11 32 4;4;
FKKO-11255112394;Твердая фракция сепарации свиного навоза при самосплавной системе навозоудаления;1 12 551 12 39 4;4;
FKKO-11255121324;Жидкая фракция сепарации свиного навоза при смывной системе навозоудаления;1 12 551 21 32 4;4;
FKKO-11255122394;Твердая фракция сепарации свиного навоза при смывной системе навозоудаления;1 12 551 22 39 4;4;
FKKO-11255211324;Навозосодержащие стоки при гидроудалении навоза свиней;1 12 552 11 32 4;4;
FKKO-11255212323;Стоки навозные при самосплавной системе навозоудаления свиней;1 12 552 12 32 3;3;
FKKO-11255311334;Осадок навозных стоков от свинарников при отстаивании в навозонакопителях;1 12 553 11 33 4;4;
FKKO-11270000000;Отходы разведения сельскохозяйственной птицы;1 12 700 00 00 0;0;
FKKO-11271000000;Помет птичий;1 12 710 00 00 0;0;
FKKO-11271101333;Помет куриный свежий;1 12 711 01 33 3;3;
FKKO-11271102294;Помет куриный перепревший;1 12 711 02 29 4;4;
FKKO-11271112294;Помет куриный, выдержанный в пометохранилище, обеззараженный;1 12 711 12 29 4;4;
FKKO-11271201333;Помет утиный, гусиный свежий;1 12 712 01 33 3;3;
FKKO-11271202294;Помет утиный, гусиный перепревший;1 12 712 02 29 4;4;
FKKO-11271301333;Помет прочих птиц свежий;1 12 713 01 33 3;3;
FKKO-11271302294;Помет прочих птиц перепревший;1 12 713 02 29 4;4;
FKKO-11272000000;Отходы инкубаторов для птицеводства;1 12 720 00 00 0;0;
FKKO-11272111294;Скорлупа куриных яиц при инкубации цыплят бройлеров;1 12 721 11 29 4;4;
FKKO-11279000000;Прочие отходы разведения сельскохозяйственной птицы;1 12 790 00 00 0;0;
FKKO-11279101334;Отходы подстилки из древесных опилок при содержании птиц;1 12 791 01 33 4;4;
FKKO-11279102394;Отходы подстилки из соломы при содержании птиц;1 12 791 02 39 4;4;
FKKO-11279611415;Мука яичной скорлупы;1 12 796 11 41 5;5;
FKKO-11279800000;Отходы при очистке сточных вод на локальных очистных сооружениях при разведении сельскохозяйственной птицы;1 12 798 00 00 0;0;
FKKO-11279891394;Осадок механической очистки сточных вод, образующихся при разведении сельскохозяйственной птицы;1 12 798 91 39 4;4;
FKKO-11279892394;Смесь осадков биологической и флотационной очистки сточных вод, образующихся при разведении сельскохозяйственной птицы;1 12 798 92 39 4;4;
FKKO-11290000000;Отходы разведения и содержания животных прочие;1 12 900 00 00 0;0;
FKKO-11291000000;Отходы разведения животных в звероводческих хозяйствах и питомниках;1 12 910 00 00 0;0;
FKKO-11291100000;Навоз пушных зверей;1 12 911 00 00 0;0;
FKKO-11291101334;Навоз пушных зверей свежий;1 12 911 01 33 4;4;
FKKO-11291102295;Навоз пушных зверей перепревший;1 12 911 02 29 5;5;
FKKO-11291211404;Отходы подстилки из древесных опилок при содержании пушных зверей;1 12 912 11 40 4;4;
FKKO-11296000000;Отходы разведения и содержания лабораторных животных;1 12 960 00 00 0;0;
FKKO-11296111404;Отходы подстилки из древесных опилок при содержании лабораторных животных;1 12 961 11 40 4;4;
FKKO-11297000000;Отходы разведения и содержания собак;1 12 970 00 00 0;0;
FKKO-11297101334;Экскременты собак свежие;1 12 971 01 33 4;4;
FKKO-11297111404;Отходы подстилки из древесных опилок при содержании собак;1 12 971 11 40 4;4;
FKKO-11297121204;Отходы подстилки из сена при содержании собак;1 12 971 21 20 4;4;
FKKO-11297511324;Жидкие отходы смыва нечистот при уборке вольеров;1 12 975 11 32 4;4;
FKKO-11298000000;Отходы разведения сельскохозяйственных животных и птиц в смеси;1 12 980 00 00 0;0;
FKKO-11298111334;Смесь навоза сельскохозяйственных животных и птичьего помета свежих малоопасная;1 12 981 11 33 4;4;
FKKO-11299000000;Отходы содержания диких животных в неволе;1 12 990 00 00 0;0;
FKKO-11299111334;Навоз диких животных, содержащихся в неволе, свежий;1 12 991 11 33 4;4;
FKKO-11299112205;Навоз диких животных, содержащихся в неволе, перепревший;1 12 991 12 20 5;5;
FKKO-11299211304;Отходы подстилки из древесных опилок при содержании диких животных в неволе;1 12 992 11 30 4;4;
FKKO-11299811204;Отходы уборки клеток и вольеров для содержания в неволе диких животных и птиц;1 12 998 11 20 4;4;
FKKO-11400000000;Отходы при прочих работах и услугах в сельском хозяйстве;1 14 000 00 00 0;0;
FKKO-11410000000;Отходы пестицидов и агрохимикатов;1 14 100 00 00 0;0;
